"route_short_name";"route_long_name";"first_bus_departure";"last_bus_arrival";"service_span_hours";"total_daily_trips";"avg_wait_time_minutes"
"601";"South Delta/Boundary Bay/Bridgeport";" 4:14:00";"27:06:00";22.9;130;10.6
"148";"Royal Oak Station/Edmonds Station";" 5:15:00";"24:28:00";19.2;107;10.8
"185";"Coquitlam Central Station/Lansdowne";" 5:30:00";"23:58:00";18.5;102;10.9
"029";"Elliott/29th Avenue Station";" 5:51:00";"25:24:00";19.6;108;10.9
"153";"Coquitlam Central Station/Braid Station";" 5:15:00";"23:29:00";18.2;100;10.9
"184";"Moody Centre Station/Noons Creek";" 5:25:00";"24:09:00";18.7;102;11.0
"026";"Joyce Station/29th Avenue Station";" 5:12:00";"26:02:00";20.8;114;11.0
"027";"Kootenay Loop/Joyce Station";" 5:03:00";"25:43:00";20.7;113;11.0
"412";"Bridgeport Station/Sea Island South";" 6:23:00";"19:30:00";13.1;71;11.1
"325";"Newton Exchange/Surrey Central Station";" 5:20:00";"24:16:00";18.9;101;11.2
"402";"Two Road/Brighouse Station";" 4:31:00";"26:09:00";21.6;114;11.4
"364";"Langley Centre/Scottsdale";" 4:57:00";"25:02:00";20.1;105;11.5
"301";"Newton Exchange/Brighouse Station";" 4:15:00";"23:46:00";19.5;102;11.5
"215";"Indian River/Phibbs Exchange";" 6:26:00";"23:16:00";16.8;88;11.5
"133";"Holdom Station/Edmonds Station";" 5:41:00";"24:58:00";19.3;100;11.6
"183";"Moody Centre Station/Coquitlam Central Station";" 4:26:00";"26:26:00";22.0;113;11.7
"608";"Ladner Ring";" 5:35:00";" 7:55:00";2.3;12;11.7
"129";"Patterson Station/Holdom Station";" 5:25:00";"25:17:00";19.9;101;11.8
"228";"Lynn Valley/Lonsdale Quay";" 4:50:00";"26:14:00";21.4;108;11.9
"229";"Lynn Valley/Lonsdale Quay";" 5:34:00";"24:53:00";19.3;97;11.9
"188";"Coquitlam Central Station/Port Coquitlam Station";" 4:30:00";"26:37:00";22.1;110;12.1
