"route_short_name";"direction_id";"trip_headsign";"num_stops";"total_trips";"trips_peak_am";"trips_midday";"trips_peak_pm"
"156";0;"156 Braid Station";1;37;0.0;6.0;6.0
"156";1;"156 Lougheed Station ";1;37;0.0;6.0;6.0
"157";0;"157 Burquitlam Station";1;36;0.0;6.0;7.0
"157";1;"157 Lougheed Station";1;37;0.0;6.0;6.0
"159";0;"159 Coquitlam Central Station";2;42;0.0;6.0;10.0
"159";1;"159 Braid Station";1;33;0.0;6.0;1.0
"159";1;"159 Braid Station via Poco Station";1;9;0.0;0.0;9.0
"160";0;"160 Port Coquitlam Station";1;72;0.0;12.0;12.0
"160";1;"160 Kootenay Loop";1;73;0.0;12.0;12.0
"169";0;"169 Coquitlam Central Station ";1;39;0.0;6.0;6.0
"169";1;"169 Braid Station";1;40;0.0;6.0;6.0
"170";0;"170 Port Coquitlam Station";1;54;0.0;6.0;13.0
"170";1;"170 Port Coquitlam South";1;52;0.0;6.0;11.0
"170";1;"170 Port Coquitlam South via Reeve";1;2;0.0;0.0;2.0
"171";0;"171 Fremont";1;44;0.0;6.0;10.0
"171";1;"171 Coquitlam Central Station";1;45;0.0;6.0;11.0
"172";0;"172 Riverside";1;46;0.0;6.0;12.0
"172";0;"172 To Ottawa";1;2;0.0;0.0;0.0
"172";1;"172 Coquitlam Central Station";1;44;0.0;6.0;10.0
"173";0;"173 Cedar";2;46;0.0;5.0;11.0
"173";1;"173 Coquitlam Central Station";1;46;0.0;6.0;10.0
"174";0;"174 Rocklin";2;46;0.0;6.0;11.0
"174";1;"174 Coquitlam Central Station";1;45;0.0;5.0;11.0
"175";0;"175 Meridian";1;20;0.0;0.0;6.0
"175";1;"175 Coquitlam Central Station";1;23;0.0;0.0;8.0
"180";0;"180 Moody Centre Station";1;68;0.0;12.0;11.0
"180";1;"180 Lougheed Station";1;67;0.0;12.0;12.0
"181";0;"181 Belcarra";1;3;0.0;0.0;0.0
"181";0;"181 Ioco";1;25;0.0;4.0;6.0
"181";1;"181 Moody Centre Station";2;28;0.0;4.0;5.0
"182";0;"182 Belcarra";1;29;0.0;6.0;6.0
"182";1;"182 Moody Centre Station";1;31;0.0;5.0;6.0
"183";0;"183 Coquitlam Central Station";1;57;0.0;6.0;10.0
"183";1;"183 Moody Centre Station";1;56;0.0;6.0;11.0
